review,label
pay though coffe hot time dilut felt coke drink even wors summer cold get visit cafe better tax order servic horribl realli water qualiti ac seem n buy instead sweat gone,0
lung conclus play coffe noisi good new eat ambianc smoke mostli bewar hangout pool colleg regular noth bunch bad place student roach,0
got thick good food perkin koi worst spici ambienc wasnt tasti nicew chicken hereth noodl thai,0
ice cream complet melt,0
rather would stay food even order bad realli order hungri chose mouth chewabl sandwich,0
qualityand chicken veg late min send biryaniaw dat serviceinstead aw dey NUM deliv,0
return doesnt late chang buk order boy say back NUM wrong deliveri deliv fail,0
food disgust wors gave order absolut milk crush littl deliveri shake kit kat top,0
infus mere special roti point know aloo fixat poorli salt rate chana makhani chef parantha leav order dal chat strang veggi butter chatpata cant place problem disappoint boil bitter lower chop,0
expect food dinech ingredi use poison tast unreli ambienc absolut flavour place disgustingfood high,0
respons place futur order good english broken deliv sorri take near also call servic kind bad min peopl experi may centr sure NUM speak,0
good increas kabab quantiti decreas deliveri chicken less disappoint NUMr price,0
ate food zomato ever kabab better wastag get worst briyani money bad simpli qualiti hotel price,0
anyth improv custom order worth need time even lose worst first otherwis kebab experi may NUMr given ill,0
got without curri item pack guntoor zomato dri trust label addit gravi order oil fri chicken worthi float full instead like,0
got order piec food zomato restaur NUM kabab banashankari worst bad experi qualiti branch receiv,0
rate horribl zomato never make differ food,0
custom got keep cun zomato trust care offer quantiti run guy offer less dont act,0
piecesdid see NUM gravi could order happi oil box goodi fri chicken oilno look dont hotel,0
bone properli biryani piec good time cook pepper rice spici order chicken NUMnd full,0
order pizza powder pneumonia sandwich fanci attack look fall shit maida mouth dont tast like,0
anyon bill stale made tri good time even never didnt pleas biggi visit burger bun patti fresh gave worst first ask go mistak outlet outlet one visit,0
bad exp pathet,0
nice fast deliveri,0
good time felt pack food see could worst order first bad order experi qualiti review,0
good els wast time food u unhappi rice disappoint ur wth tast wt worst spici kind money noth fri deliveri fill corn,0
ad food powder kitchen chang tast chilli chief satisfi poor much byte bendakaluru think,0
order gobi plz rice bad dont buy fri couldnt smell,0
everi order wast time contain tast food ever dish pleas worst order oil money place guy dont lot,0
worst pack,0
sent gobi ask rice n fri mushroom,0
worst even order veg gobi noodl dri schezwan everand pepper app hotel deliveredand deliveredworst mushroom,0
even gobi wors corn n babi tast nicebut,0
requir item order send didnt qualityi take tast worst order abl anoth fulfil cancel dont one,0
intern charg recent restaur could shame brand friend made wrong deliv googl tri cheat poor find peopl expect go mine differ upon pizza NUM mojo u even zomato didnt told increas go bad NUM feel f map price rate person big new address victim choic tast stupid gap less,0
section wait give care parcel NUM nobodi slow still onlyself servic staff lack hour ignor us prefer almost,0
take paneer mess tasteless masala stale wast bhel food ingredi geniu tast could level worst pathet money bad puri manchurian tomatobland give dish dont like simpl,0
bad spoon,0
mint came anyon starv hr food north NUM NUM tast order bad make deliveri hungri qualiti took averag indian,0
ordinari order need stomach item manag suppli food earth exampl wait visit demand take best min option much may qualiti melt one NUM simpl,0
good kabab,0
need bhatur layoutchhol food welcom among visit tast could better option other owner friendli kumarswami goodwaitor,0
order time food deliv ever never restaur order bad experi partial dont twice pl,0
respond item order miss food poorli disgust restaur still money qualiti took full mani,0
came place order overal thrice havent provid NUM yet confirm servic poor bad min experi sinc custom brunch top,0
expect time amount never paid worst order servic absolut quantiti order place disappoint one onlin receiv,0
combin food among thing heart sandwich chilli chees order horribl half bad effort chilli put stingi sandwich,0
float actual grab worth minut cream tell good coke ice enjoy paid fudg sip tast also chilli dessert order toss two quantiti three realli melt consist quick chocol bear disappoint polar maintain went even,0
got syrup cream hot good ice pretti sunda fudg also butterscotch small order add first wasnt quantiti experi melt deliv place chocol disappoint instead bit one,0
person dintvlik place u food ever worst hygien tasti option experi dint go place scale NUM one rate,0
masala worth time sea crispi food mangalor style rawa tast smell whatsoev money mockeri congest fri place offer dark dirti n,0
point wine good come comment cleanli food waitress read hawker come view tast next better pathet local peopl drunk main hell place rash lack averag hotel mislead like shop,0
eye offici see dead pizza made say ever never visit punch impress wateri first onion go kind back flavour helpless hut place burnt definit lunch seem went leav,0
rotten anyon throw wast time food tri never god ur fr im tq money order yuk suggest n gonna onlin pl bin,0
advic order fire life remov food even zomato batura poison ever list might unhealthi wonder worst oil caus foodict old deliv guy dare keep hotel anymor ill,0
call final rain request order minut reason seen NUMam ever ive paid later like worst ppl hr money foodict till deliveri NUM night experi nowi long amanreview took cancel give onlin,0
quantiti realli less,0
saviour turn food NUM someth devil quantiti chef utterli hungri qualiti feel unsatisfactori disappoint,0
pure know need concept tast lababdar tikka even say didnt well disappoint malai next gravi lababdar order understand peopl recip chicken dont seem boil like tomato,0
call follow final improv order minut would food zomato rice restaur tast nobodi pick gobi suggest fri deliveri NUM qualiti manchurian late averag mark smelli bit receiv thank,0
reciev never order,0
itdeliveri swallow compar kushka biryani wast time centr food meghan even dri non restaur chimney better road best money abl order much NUMhrNUMmin paradis veg less dont price like side nagarjun,0
paneer awkward dnt actual got NUM masala made shell tikka food piec tat tot ever prfr equal restaur angri worst order plzzz egg experi shit NUM deliveri NUM other feel garbag one,0
worth good check food well choic restaur review NUM nobodi deceiv discount hour deliveri deliv hungri wait late like respond,0
babhhjjioojffwwooffffttggggggggghuuiiuhuhhuujhhgggfffffhjjjjjjhhhhhhhhhhhhhtttNUMtvvNUMtreNUMeweeewerrpiupfyttttrrrrvhghhhhhhuuuuhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,0
upto kaju improv masala curri markthey inspid although also standard order rooti deliveri quick onlin,0
bhatur oilNUM NUM iss food write acha chole review consum pi kar ws level brush still hunger yaar NUM unabl paani peak bottl smelli reciv shitNUM soojata think,0
paneer dt follow tasteless coat order cgst properli good badli charg tikka food bounc right cook direct use rice starter plate ethic prepar order dilveri back bad peopl jeera color man fri qualiti hast us prepar feel respons serv nt dinner hard n sgst fee,0
succeed custom advic cockroach sausag order cheat time race busi food mean rice cook whole pleas thing pour malai surviv human su packet wont still order seriou milk kofta two help jeera drunk peopl littl serv guy place long qualityand serious stop want dont like receiv smell,0
price masala panner low instanc menu tikka app pleas take restaur servic sabzi mention origin NUM consider NUM much realiti given outdat disappoint offer price issu compar,0
total ghatiya worth menu pleas go bad noth avoid much shit soooooo suck place damn possibl hate,0
call good time NUMmin food wait trust see NUMrd restaur NUM NUMam still order theyr servic ye bad time till realli experi deliveri NUM review fake rude like news,0
follow order rather addict proud midnight deliv boy restaur complementari tast otherwis materi lassi skip bad NUM night meal foodict deliveri deliv place constant prepar lollypop straw clock think kalmikabab mid,0
anyon overal time stay word busi arrog describ food doesnt even dishearten say ever ok start lose restaur kindli away find worst servic pathet peopl experi go hungri place want temper ignor site serv,0
order miss item food say ever worst briyani bad suggest definit combo one smell,0
order worth NUMratingdont expect would time item food eat even wait never give restaur tast inform think worst hour offer abl r simpli worthless offer like,0
improv baasi givingplu hand ever ive rice pleas tast also worst egg fri qualiti guy,0
call though order person way NUM food even restaur NUM get order say messag deliveri cancel lie,0
order biryani time last tast food sk ever pleas fooditict poison worst noth dont,0
time life eat food tast spici worst deliveri wait long late,0
respons call good time food doesnt pleas cold take get servic consider restur bad deliv complain,0
ate order time coke food even ever didnt come also worst order first probabl experi finish,0
total call complet sir understat pizza made come light food deliv oven say NUMmin pizza throw take tawa choic chees NUMam human packet check excus horribl dustbin go absolut understand progress said pathet base deliveri NUM owner hell happen chicken uncook went,0
got NUM order msg ever restaur NUM worst order deliveri deliv NUM suck,0
order worth total biriyani ju food disappoint deliv ever restaur age kebab took dont great onlin,0
call chip day excus wast time food regular start stil sunda throw restaur small worst sent order listen money back deliveri NUM choco deliv hour everi readi give dont lame one bin,0
NUM know els prepar someth find order surpris explan audac given steam want ad beauti toothpick also peopl egg lollipop everyon argu co n mix like order send give pleas review im make momo averag NUM place way tell suppos expect food rice deserv tast schezwan hunger say attach fri deliv chicken veg momo die look dont receiv,0
anyth got order know way oclock tell good websit food even tri say get NUM order NUM bad night deliveri deliv cant guy morn line guy delay dont shopper show almost,0
pay got properli time food hand thing smilewhisperinga boy gravi contain wasnt outw box pack deliveri littl deliv happen spill inspit,0
absolut wast agre doesnt even fri mayonnais record restaur chees call money scam agre,0
total eras got order dissappoint toss total wast time either crispi food around eras sad zomato write wait indel boy pleas list delay thougest perfect behind servic pathet money said yaar deliveri pick paper guy chicken cancel oh control rude potato n poop smile parcl remov fkall,0
capsicum properli turn terribl cook worst order onion wasnt experi deliveri qualiti chilli chicken one,0
NUM custom order time food u deliv never pleas guarante remain state hungri place rate,0
foodi round serv point boob itit useless though stuff good time els big word describ substandardcheap deliv cook rice result placethi tast road order servic milk NUM quantiti baryani sameit deliveri shake qualiti definit rupe lit chicken side late nocturn clock nt posit stuffand bit,0
bharos mat stay bhai bother everyth kha deliver entir order noth night maggi fake le dont review isk,0
take follow order onion fals chapati given bread instead moreov total cook wish item made good wrong around amateur NUM gravi deliv peopl go believ place indian review roti order valu unprofession time none manag specif zomato along review kindli tasti creat make id purpos sole fake NUM long NUM give rate post person either food see mention sent money avoid realli deliveri deliv option top,0
call serv pure NUM crumb order made would wait give judg NUM get hour probabl order night fri process NUM deliveri neg chilli chicken possibl rate tomato,0
everi came place improv custom order cream piec tast food ice powder dri cook use lasagn pleas fudg bud tast slightli gud dessert cheer amateurish standard thrown cake make thought experi layer qualiti condiment veg chocol extrem bisibelebath biscuit togeth disappoint like,0
street gulp prepar order good wast time post food around indulg shut even never NUM NUM sorri well NUMrd thing pleas restaur im gravi rs better wateri order close miss money foodfoodict time roti yo old review fake cheap bite other chicken day class hard dont spent one cannot,0
isnt share bother hygen okay french meat zomato fri fresh feedback order chinoodl uneatableth past via dont,0
worth fench worldburg tast food even stink fri prepar ever charg start better worst ppl roll stinki appli,0
work correct worth keep work time u even zomato chang time pleas number switch half your contact cant given specifi,0
worst take servic teach kind peopl lesson friendlyavoid food,0
cook locat custom biryani piec would good tast goe even rice could call pathet lemon guy serious chicken fire great improvis,0
cook total open good eat u later chang tast visit bad experi worsen cant tastelesskebab burnt cost,0
good place even pleas tast worst road staff satisfi experi go dont side ill,0
worst roadsid servic serv extrem unhappi tast im qualiti better food,0
place decent chicken budget item within satellit stand travel bu eat,0
masala coffe hope howev lineag good dose mysor come thing chutney mylari sure saagu forgett disappoint high one,0
valu good time come food restaur tast NUM order first money deliveri pickup chicken packag NUM mark popcorn empir,0
paneer lesstast star food respect bhurji ultim folk ever list thing pathet worstal quantiti experi NUM definit toward veg empir,0
paneer bland cornflour order good raw veget wrap felt okay salt even makhani sauc dosa thing tast like wrap could entir order close freshmenu noth bad save experi place packag pulao noodli noodl less pita cring pocket great garlic hakka grace outlet hint,0
accept place pay jar got order day pod order accept wise wait later disadvantag cod lava make servic NUM say refund cake order messag payment disappoint onlin cancel,0
chicken order bad biryani amaz find,0
differ order got someth,0
even chicken tasteless pathet kind rice biryani fri,0
breakfast roti item masala casual good curri mushroom okay right north weve dine suggest especi best time famili place lunch indian like coupl,0
item NUM extra miss charg,0
even poor cook properli food,0
rice bad fri,0
goodold stock deliv type frm hotel dint xpect qualiti food,0
improv cook come ok common order first satisfi empti quantiti qualiti want properli good pack NUM next still give combo gram accordingli think al size come bowl tri give gave best dal box request ghee chilli fkm chose NUM adjust food whatev fill rice tast tase NUM impress chicken less fourth dont one pl,0
call futur troubl contact due get order first experi bell phone outlet core panda almost irrit came pay item harass rang good incomplet constantli profit also henc swiggi wasnt abl peopl worri troubl sinc headach overwhelm order time receiv gave bad NUM readi hand hassl provid choos support need build suppos item food unless boy door access wont faaso deliveri deliv custom one otp,0
treat order u seen food ever never weasrt pleas restaur call pick peopl r guy manner custom dont one,0
wont shouldnt display deliv item cant,0
got biryani piec wast aw coke food even trust cook use never rice didnt thing tast also neither order best kind money quantiti courag finish qualiti cheap place chilli chicken buy must,0
pay less cheat worth way low NUMr qualiti food,0
coke deliv one,0
eat cook properli could food,0
awesom medium theyv price item quit tri food stop whatev style curri ive restaur home plate keep spici love updat half realli reason price anymor paratha,0
paneer NUMr improv worth piec good time food amount shahi zomato honestli paid tast also plate could small highli order servic half becom pathet quantiti meal realli expect atleast NUM qualiti wait long less disappoint great found,0
anyon biriyani food zomato recommend restaur black wont worst order pathet egg color experi egg chilli,0
masala bad much tast thumb,0
biryani good aw mani pack food mint well tast order combo chewi chicken leav,0
biryani piec everyth tast cook well tast worst doubt poor quantiti mutton old stock wood like,0
less quantiti hot food,0
spici chicken grill,0
lesschicken cook half rice tast also food,0
spoilt gulabjamun salti biryani,0
ambur biryani felt kind right lamb thing restaur blend garam keep use that given anyth actual dishesi spice howev hot earn dish NUM prepar kind doubl noth mutton hydrabadiawadhi go indian test layer afghaan seen eat didnt donn gradethi stinki exot make south grade NUM mouth super name must biryanibangladeshi masala item tast basmati menu plenti rice NUMrd licens less one,0
call past thing yellow wateri order quantiti disappoint float tomato tasteless let raw good bhaja start well ginger water sinc profess tast boil like smell piec wast even aalu enough far dal NUM thali region belong curri tast food salt chang chutney authent tast bengali money realli equal fri awar chicken lunch less india garlic,0
got piec good dri restaur home tast told call bengali establish order small onion instantli runni surpris make deliveri chilli chicken receiv,0
compar way share stay foodw manag food cook start rice end restaur tast away ws better bengali worst order otherw horribl khichdimutton half dak dal bad experi mutton less rectifi argu type bunglow n mixtur instead saltwhen disheskhichdi,0
cook ball provid know chutni tri curri tNUM food sane attitud even khidchi meat along cook ever folk pepper honest edibl thing NUM eaten better worst bengali order feedback sent cook half dak bad avoid mutton suggest NUM place bungalow khichdi cuisin leav hard,0
cook cold well food,0
nearli food pretti even tri deliv didnt get yet order servic chanc bad deliveri NUM sinc hour yeah forgot sure,0
overcharg order pizza total tini last compar disappoint,0
receiv order dint,0
bad eatabl pizza qualiti fresh,0
crunchi make bit soft,0
complet hard cold pizza,0
mark qualiti upto,0
pretti order late dri stale order cold night receiv liter,0
actual improv lot pizza need,0
